,open,close,high,low,volume,total_turnover,SZZSopen,SZZSclose,SZZShigh,SZZSlow,SZZSvolume,SZZStotal_turnover,HS300open,HS300close,HS300high,HS300low,HS300volume,HS300total_turnover,SZCZopen,SZCZclose,SZCZhigh,SZCZlow,SZCZvolume,SZCZtotal_turnover
2007/2/6,2158.498,2198.239,2198.626,2148.0991,3087618500,20714662878,2612.8391,2675.697,2677.042,2541.5249,8662995000,68761575726,2271.3721,2316.04,2316.7019,2198.9009,6701064800,61206502550,7282.9839,7341.5308,7343.6182,6985.7822,833285248,11019562213
2007/2/7,2209.6521,2237.9441,2237.9441,2208.3779,3832705000,26101531474,2688.96,2716.175,2745.387,2681.3291,9488376400,77315160642,2330.428,2369.7871,2390.8669,2330.428,7010639000,66203343445,7414.3921,7541.7358,7615.3452,7414.3921,892150132,11655738124
2007/2/8,2245.0779,2278.4451,2282.1931,2233.521,3905389700,26710676361,2725.1399,2737.7319,2751.1621,2691.2681,8843429500,69597596590,2376.6289,2410.6011,2415.959,2354.697,6265654000,58367504085,7568.0269,7691.4629,7693.394,7484.853,873530323,11295140971
2007/2/9,2282.627,2287.3811,2300.8059,2263.6121,3716182200,24939688424,2741.48,2730.386,2747.9441,2704.365,8087443800,62974673347,2412.644,2397.2451,2417.6431,2376.022,5551553200,51302933998,7713.2002,7627.9351,7722.3091,7557.5059,704895449,9105871820
2007/2/12,2291.6599,2341.072,2341.072,2291.6599,3618835300,25013026001,2729.8359,2807.1741,2807.51,2728.783,7900940300,63455731244,2397.8491,2485.3921,2485.759,2396.7859,5499232000,51709436972,7616.7998,7951.583,7951.583,7605.8428,712754693,9085904722
2007/2/13,2351.6499,2384.158,2384.158,2338.5649,3816378300,26801027681,2819.1379,2831.8721,2835.0891,2801.313,7900167100,62209741474,2498.345,2522.6299,2526.2271,2489.6599,5152886200,48227864862,8014.8159,8104.2661,8132.7871,7984.8472,639069342,8765575356
2007/2/14,2386.835,2435.959,2445.7649,2380.7361,4406558200,31223510543,2836.8191,2905.093,2915.063,2823.3821,9404455500,74326325650,2527.5601,2588.3491,2594.6609,2520.533,6277727900,58462267865,8122.02,8315.9053,8317.1777,8104.3081,744919873,9810020665
2007/2/15,2451.436,2512.4021,2512.55,2451.3181,5151645900,37101618593,2923.666,2993.0081,2994.6221,2923.666,10883117700,86918918792,2607.626,2668.6331,2669.1831,2607.626,7163132900,67415688269,8380.707,8582.9131,8584.4883,8380.707,847834073,11702215481
2007/2/16,2528.8359,2541.4089,2581.5601,2519.2319,5405675100,39956571058,3018.1799,2998.4741,3036.3459,2975.8269,11792172200,94064924161,2692.6699,2676.7351,2717.5701,2660.4861,7590878500,71597577014,8661.9082,8572.2695,8740.9062,8534.2598,846299349,11496795525
2007/2/26,2557.2539,2642.114,2642.114,2532.0969,4896308400,36442929080,2999.0859,3040.5991,3041.3359,2960.7451,11205699200,91054567401,2679.2649,2707.676,2710.301,2641.1201,7453156000,70981612303,8582.7412,8588.6943,8610.4072,8431.917,766889203,10678318962
2007/2/27,2654.4351,2405.574,2673.53,2402.719,7240425400,52918857566,3048.8291,2771.791,3049.771,2763.395,16137566300,1.29212E+11,2717.812,2457.4919,2719.519,2454.918,10773680700,1.01103E+11,8620.8584,7790.8169,8631.9746,7790.5278,1297566089,17253912133
2007/2/28,2370.9509,2513.533,2520,2369.053,5302502900,37869581290,2734.595,2881.073,2888.8989,2732.884,12147916800,95421808405,2413.4221,2544.571,2554.2261,2413.3269,8282257100,77148246135,7597.6851,8039.6992,8097.3262,7596.022,1050278038,14073240018
2007/3/1,2526.1541,2459.511,2526.1589,2417.842,5882813900,41587572191,2877.2029,2797.1899,2878.355,2760.9121,12736486000,1.06614E+11,2550.26,2473.5439,2550.3279,2439.5029,8215965500,74299578237,8075.3472,7804.3511,8090.0439,7710.2568,941550541,11935685878
2007/3/2,2458.26,2503.677,2515.0229,2452.9651,4723810400,33901995283,2792.9409,2831.5259,2846.158,2777.7959,9394396500,74931594366,2468.6721,2508.729,2523.856,2455.8191,5794680500,54222099462,7795.8071,7923.334,7998.6372,7761.5068,711790371,9676254449
2007/3/5,2508.386,2511.916,2548.2539,2419.2881,4953597800,36388108851,2827.675,2785.3059,2858.4409,2723.0649,10691058400,84960180835,2503.8159,2475.606,2541.8181,2409.7151,6851748800,63071754494,7901.3242,7826.5601,8032.4111,7582.627,875495757,11130694456
2007/3/6,2501.2859,2516.0029,2524.6321,2467.6799,3332166600,24808787734,2776.167,2840.175,2866.332,2756.9609,7704048600,63993290649,2467.741,2520.293,2539.4529,2452.1421,5263315300,50261314068,7797.708,7924.812,7986.396,7741.3779,607924199,8133399501
2007/3/7,2525.5339,2580.5969,2580.5969,2525.4661,3723070900,28949689587,2851.7471,2896.594,2911.416,2849.6479,8791393000,73844900602,2532.9751,2589.436,2594.458,2532.1479,5972094900,57623239829,7972.4341,8140.335,8162.0361,7972.4341,822955800,10160062935
2007/3/8,2587.748,2634.8789,2634.8789,2562.499,4307706500,33388959788,2904.1851,2928.0149,2928.803,2871.4641,8895512300,73782479702,2597.7151,2627.6299,2628.448,2565.1089,5538655900,53907621543,8174.0322,8249.2119,8257.5723,8062.9229,718508561,9113945347
2007/3/9,2637.5959,2638.0471,2662.3279,2590.438,4803170500,37390032187,2934.4929,2937.9099,2962.4209,2891.814,10713910500,89725963574,2632.8,2611.3931,2643.8091,2587.488,7041132600,67933045137,8269.3506,8146.4419,8287.6865,8103.3232,829633157,10663882948
2007/3/12,2639.894,2696.4971,2696.8711,2610.4021,5136709100,39729102503,2945.9231,2954.9141,2958.6321,2904.7439,10154244400,85496576407,2612.957,2616.1721,2619.498,2563.3669,6246892100,60438197476,8137.041,8130.752,8156.043,7940.8579,797243523,10170503862
2007/3/13,2701.502,2727.4551,2740.4619,2694.3821,5359616200,41804787634,2958.0959,2964.7939,2966.1941,2932.2339,10718931600,88657286547,2620.7151,2640.1689,2641.626,2605.2339,6578890800,62061191754,8136.3979,8200.6133,8207.7354,8084.4268,834274572,10363803219
2007/3/14,2704.4451,2708.687,2740.532,2622.7549,5658027100,43846863925,2933.679,2906.334,2934.4541,2868.8069,11373073900,93829876741,2609.927,2597.3569,2625.123,2546.646,6895208800,66581939459,8115.4849,8090.4678,8158.9551,7897.3418,798159111,10778660674
